Месяц,Заявка,Продукт,Источник,"Сумма, ₽",Статус,Дней до решения
2025-11,Заявка 41,Личная консультация,Сарафан,8000,Отказ,14
2025-11,Заявка 42,Корпоративный тренинг,Сарафан,120000,Оплачено,8
2025-11,Заявка 43,Корпоративный тренинг,HR-конференция,150000,Оплачено,4
2025-11,Заявка 44,Личная консультация,Сарафан,8000,Оплачено,12
2025-11,Заявка 45,Корпоративный тренинг,Сарафан,120000,Оплачено,15
2025-11,Заявка 46,Выступление,Сарафан,60000,Оплачено,17
2025-11,Заявка 47,Корпоративный тренинг,Сарафан,120000,Отказ,17
2025-11,Заявка 48,Личная консультация,Сайт,8000,Оплачено,8
2025-11,Заявка 49,Открытый тренинг,Сайт,9000,Оплачено,15
2025-11,Заявка 50,Личная консультация,Сарафан,8000,Оплачено,13
2025-12,Заявка 51,Личная консультация,Telegram,8000,Оплачено,1
2025-12,Заявка 52,Корпоративный тренинг,Сайт,150000,Думают,13
2025-12,Заявка 53,Корпоративный тренинг,Telegram,150000,Оплачено,18
2025-12,Заявка 54,Личная консультация,Сарафан,8000,Думают,20
2025-12,Заявка 55,Корпоративный тренинг,HR-конференция,150000,Отказ,17
2026-01,Заявка 56,Открытый тренинг,HR-конференция,9000,Оплачено,16
2026-01,Заявка 57,Корпоративный тренинг,Telegram,180000,Оплачено,21
2026-01,Заявка 58,Корпоративный тренинг,Сарафан,120000,Думают,16
2026-01,Заявка 59,Личная консультация,Telegram,8000,Оплачено,1
2026-01,Заявка 60,Личная консультация,HR-конференция,8000,Оплачено,1
2026-01,Заявка 61,Открытый тренинг,HR-конференция,9000,Отказ,17
2026-01,Заявка 62,Личная консультация,Instagram,8000,Оплачено,13
2026-01,Заявка 63,Личная консультация,Сарафан,8000,Отказ,8
2026-01,Заявка 64,Открытый тренинг,Instagram,9000,Оплачено,18
2026-01,Заявка 65,Открытый тренинг,Instagram,9000,Отказ,4
2026-01,Заявка 66,Выступление,Сарафан,60000,Оплачено,3
2026-01,Заявка 67,Личная консультация,Сарафан,8000,Оплачено,16
2026-02,Заявка 68,Личная консультация,Сарафан,8000,Отказ,16
2026-02,Заявка 69,Корпоративный тренинг,Сайт,150000,Думают,2
2026-02,Заявка 70,Личная консультация,Сарафан,8000,Оплачено,9
2026-02,Заявка 71,Корпоративный тренинг,Сарафан,180000,Оплачено,8
2026-02,Заявка 72,Корпоративный тренинг,Сайт,150000,Оплачено,4
2026-02,Заявка 73,Корпоративный тренинг,Сайт,150000,Оплачено,9
2026-02,Заявка 74,Корпоративный тренинг,Instagram,150000,Думают,18
2026-02,Заявка 75,Выступление,Telegram,60000,Думают,19
2026-02,Заявка 76,Личная консультация,Telegram,8000,Отказ,21
2026-02,Заявка 77,Открытый тренинг,HR-конференция,9000,Думают,6
2026-02,Заявка 78,Открытый тренинг,Telegram,9000,Отказ,17
2026-02,Заявка 79,Корпоративный тренинг,Telegram,150000,Оплачено,2
2026-02,Заявка 80,Корпоративный тренинг,Сарафан,180000,Отказ,1
2026-03,Заявка 81,Личная консультация,HR-конференция,8000,Оплачено,15
2026-03,Заявка 82,Выступление,Сарафан,40000,Оплачено,17
2026-03,Заявка 83,Открытый тренинг,HR-конференция,9000,Думают,5
2026-03,Заявка 84,Корпоративный тренинг,Telegram,180000,Думают,17
2026-03,Заявка 85,Личная консультация,Telegram,8000,Отказ,2
2026-03,Заявка 86,Открытый тренинг,Сарафан,9000,Оплачено,7
2026-03,Заявка 87,Личная консультация,HR-конференция,8000,Отказ,16
2026-03,Заявка 88,Корпоративный тренинг,HR-конференция,120000,Оплачено,19
2026-03,Заявка 89,Личная консультация,Сарафан,8000,Оплачено,6
2026-03,Заявка 90,Личная консультация,Сарафан,8000,Оплачено,18
2026-03,Заявка 91,Выступление,Сарафан,40000,Оплачено,8
2026-03,Заявка 92,Открытый тренинг,Instagram,9000,Думают,10
2026-03,Заявка 93,Корпоративный тренинг,Сарафан,120000,Оплачено,19
2026-03,Заявка 94,Выступление,Сарафан,60000,Отказ,12
2026-04,Заявка 95,Корпоративный тренинг,Instagram,120000,Думают,6
2026-04,Заявка 96,Личная консультация,Instagram,8000,Оплачено,18
2026-04,Заявка 97,Открытый тренинг,Сарафан,9000,Думают,3
2026-04,Заявка 98,Корпоративный тренинг,Сарафан,180000,Отказ,17
2026-04,Заявка 99,Личная консультация,Telegram,8000,Отказ,2
2026-04,Заявка 100,Открытый тренинг,Instagram,9000,Отказ,3
2026-04,Заявка 101,Личная консультация,HR-конференция,8000,Оплачено,14
2026-04,Заявка 102,Открытый тренинг,Instagram,9000,Думают,21
2026-04,Заявка 103,Личная консультация,Telegram,8000,Оплачено,15
2026-04,Заявка 104,Выступление,Instagram,60000,Думают,11
2026-04,Заявка 105,Личная консультация,HR-конференция,8000,Оплачено,10
2026-04,Заявка 106,Открытый тренинг,Telegram,9000,Отказ,18
2026-04,Заявка 107,Открытый тренинг,Instagram,9000,Оплачено,19
2026-04,Заявка 108,Личная консультация,Сарафан,8000,Оплачено,5
2026-04,Заявка 109,Открытый тренинг,Сайт,9000,Оплачено,17
2026-04,Заявка 110,Личная консультация,Сарафан,8000,Отказ,1
2026-04,Заявка 111,Личная консультация,Instagram,8000,Оплачено,10
2026-04,Заявка 112,Личная консультация,Сарафан,8000,Думают,12
2026-04,Заявка 113,Личная консультация,Telegram,8000,Думают,18
2026-04,Заявка 114,Открытый тренинг,Telegram,9000,Отказ,10
2026-04,Заявка 115,Открытый тренинг,Сарафан,9000,Думают,20
2026-04,Заявка 116,Открытый тренинг,Telegram,9000,Оплачено,3
2026-04,Заявка 117,Открытый тренинг,Сайт,9000,Отказ,6
2026-04,Заявка 118,Открытый тренинг,HR-конференция,9000,Оплачено,7
2026-04,Заявка 119,Личная консультация,Instagram,8000,Думают,2
2026-04,Заявка 120,Корпоративный тренинг,Telegram,120000,Оплачено,3
2026-05,Заявка 121,Открытый тренинг,Сайт,9000,Оплачено,16
2026-05,Заявка 122,Открытый тренинг,Instagram,9000,Оплачено,8
2026-05,Заявка 123,Личная консультация,HR-конференция,8000,Оплачено,16
2026-05,Заявка 124,Выступление,Сарафан,40000,Отказ,7
2026-05,Заявка 125,Корпоративный тренинг,Сарафан,150000,Отказ,3
2026-05,Заявка 126,Личная консультация,Instagram,8000,Оплачено,21
2026-05,Заявка 127,Личная консультация,Instagram,8000,Оплачено,9
2026-05,Заявка 128,Открытый тренинг,HR-конференция,9000,Отказ,14
2026-05,Заявка 129,Корпоративный тренинг,Сайт,120000,Оплачено,15
2026-05,Заявка 130,Выступление,Сарафан,60000,Оплачено,9
2026-05,Заявка 131,Открытый тренинг,Telegram,9000,Оплачено,10
2026-05,Заявка 132,Личная консультация,Telegram,8000,Оплачено,12
2026-05,Заявка 133,Корпоративный тренинг,Instagram,120000,Оплачено,1
2026-05,Заявка 134,Личная консультация,Сарафан,8000,Отказ,7
2026-05,Заявка 135,Корпоративный тренинг,Сарафан,150000,Думают,2
2026-05,Заявка 136,Личная консультация,Сарафан,8000,Оплачено,14
2026-06,Заявка 137,Корпоративный тренинг,Telegram,150000,Отказ,10
2026-06,Заявка 138,Выступление,HR-конференция,40000,Оплачено,20
2026-06,Заявка 139,Личная консультация,Telegram,8000,Отказ,17
2026-06,Заявка 140,Личная консультация,Telegram,8000,Оплачено,16
2026-06,Заявка 141,Личная консультация,Instagram,8000,Оплачено,11
2026-06,Заявка 142,Открытый тренинг,Instagram,9000,Оплачено,8
2026-06,Заявка 143,Корпоративный тренинг,Instagram,150000,Отказ,3
2026-06,Заявка 144,Личная консультация,Instagram,8000,Оплачено,20
2026-06,Заявка 145,Выступление,Сарафан,60000,Оплачено,19
2026-06,Заявка 146,Открытый тренинг,Instagram,9000,Оплачено,17
2026-06,Заявка 147,Личная консультация,Instagram,8000,Отказ,17
2026-06,Заявка 148,Личная консультация,Сарафан,8000,Отказ,15
2026-06,Заявка 149,Личная консультация,Сайт,8000,Отказ,8
2026-06,Заявка 150,Открытый тренинг,Telegram,9000,Оплачено,13
2026-06,Заявка 151,Выступление,Сарафан,40000,Отказ,6
2026-06,Заявка 152,Личная консультация,HR-конференция,8000,Оплачено,15
2026-06,Заявка 153,Личная консультация,Сарафан,8000,Оплачено,9
2026-06,Заявка 154,Корпоративный тренинг,Telegram,120000,Оплачено,12
2026-07,Заявка 155,Личная консультация,Сарафан,8000,Думают,21
2026-07,Заявка 156,Открытый тренинг,Сарафан,9000,Отказ,17
2026-07,Заявка 157,Личная консультация,Сарафан,8000,Оплачено,4
2026-07,Заявка 158,Корпоративный тренинг,HR-конференция,120000,Отказ,5
2026-07,Заявка 159,Открытый тренинг,Instagram,9000,Оплачено,18
2026-07,Заявка 160,Личная консультация,Сарафан,8000,Оплачено,2
2026-08,Заявка 161,Открытый тренинг,Telegram,9000,Оплачено,14
2026-08,Заявка 162,Личная консультация,Instagram,8000,Оплачено,6
2026-08,Заявка 163,Корпоративный тренинг,Сарафан,120000,Оплачено,12
2026-08,Заявка 164,Выступление,Сарафан,40000,Думают,12
2026-08,Заявка 165,Корпоративный тренинг,Сарафан,120000,Оплачено,2
2026-08,Заявка 166,Личная консультация,Сарафан,8000,Отказ,13
2026-08,Заявка 167,Личная консультация,Сайт,8000,Отказ,15
2026-08,Заявка 168,Личная консультация,Instagram,8000,Оплачено,19
2026-08,Заявка 169,Личная консультация,Сарафан,8000,Думают,5
2026-08,Заявка 170,Корпоративный тренинг,Сарафан,120000,Отказ,3
2026-08,Заявка 171,Открытый тренинг,Сарафан,9000,Оплачено,20
2026-08,Заявка 172,Открытый тренинг,Instagram,9000,Оплачено,20
2026-08,Заявка 173,Корпоративный тренинг,HR-конференция,120000,Отказ,19
